time,累计流量(立方米),化学需氧量(毫克/升)监测值,化学需氧量排放量（千克）,氨氮(毫克/升)监测值,氨氮排放量(千克),总氮(毫克/升)监测值,总氮排放量(千克),总磷(毫克/升)监测值,总磷排放量(千克),累计流量(立方米).1,pH监测最小值,pH监测平均值,pH监测最大值,化学需氧量(毫克/升)监测值.1,化学需氧量排放量（千克）.1,氨氮(毫克/升)监测值.1,氨氮排放量（千克）,总氮(毫克/升)监测值.1,总氮排放量（千克）,总磷(毫克/升)监测值.1,总磷排放量（千克）,水温(摄氏度)监测最小值,水温(摄氏度)监测平均值,水温(摄氏度)监测最大值,anomaly
2024-07-29 18,1028.206,210,215.923,14.73,15.145,37.906,38.975,2.54,2.612,1005.183,7.314,7.314,7.314,8,8.041,0.46,0.462,7.947,7.988,0.1,0.101,25.348,25.348,25.348,
2024-07-29 17,1037.813,170,176.428,14.9,15.463,37.898,39.331,2.43,2.522,990.881,7.299,7.299,7.299,8,7.927,0.43,0.426,8.292,8.216,0.13,0.129,25.366,25.366,25.366,
2024-07-29 16,1000.26,170,170.044,14.9,14.904,37.898,37.908,2.43,2.431,1002.476,7.284,7.284,7.284,8,8.02,0.43,0.431,8.292,8.313,0.13,0.13,25.365,25.365,25.365,
2024-07-29 15,991.714,123,121.981,15.6,15.471,36.961,36.655,2.19,2.172,986.185,7.237,7.237,7.237,6,5.917,0.43,0.424,8.182,8.069,0.12,0.118,25.383,25.383,25.383,
2024-07-29 14,995.377,123,122.431,15.6,15.528,36.961,36.79,2.19,2.18,994.755,7.19,7.19,7.19,6,5.969,0.43,0.428,8.182,8.139,0.12,0.119,25.358,25.358,25.358,
2024-07-29 13,1009.289,167,168.551,17.66,17.824,41.167,41.549,2.64,2.665,1011.131,7.144,7.144,7.144,6,6.067,0.65,0.657,8.014,8.103,0.13,0.131,25.281,25.281,25.281,
2024-07-29 12,1018.753,167,170.132,17.66,17.991,41.167,41.939,2.64,2.69,902.473,7.139,7.139,7.139,6,5.415,0.65,0.587,8.014,7.232,0.13,0.117,25.154,25.154,25.154,
2024-07-29 11,892.65,220,196.383,19.85,17.719,40.744,36.37,2.89,2.58,1024.859,7.154,7.154,7.154,7,7.174,0.6,0.615,7.965,8.163,0.1,0.102,25.002,25.002,25.002,
2024-07-29 10,974.115,220,214.305,19.85,19.336,40.744,39.689,2.89,2.815,1069.585,7.207,7.207,7.207,7,7.487,0.6,0.642,7.965,8.519,0.1,0.107,24.868,24.868,24.868,
2024-07-29 09,1014.937,217,220.241,20.87,21.182,37.744,38.308,2.77,2.811,893.091,7.271,7.271,7.271,9,8.038,0.87,0.777,8.057,7.196,0.12,0.107,24.818,24.818,24.818,
2024-07-29 08,1075.986,217,233.489,20.87,22.456,37.744,40.612,2.77,2.98,1047.618,7.352,7.352,7.352,9,9.429,0.87,0.911,8.057,8.441,0.12,0.126,24.764,24.764,24.764,
2024-07-29 07,1054.984,223,235.261,21.11,22.271,42.357,44.686,3.01,3.176,1028.277,7.356,7.356,7.356,6,6.17,0.57,0.586,8.172,8.403,0.1,0.103,24.766,24.766,24.766,
2024-07-29 06,1038.738,223,231.639,21.11,21.928,42.357,43.998,3.01,3.127,1009.852,7.351,7.351,7.351,6,6.059,0.57,0.576,8.172,8.253,0.1,0.101,24.762,24.762,24.762,
2024-07-29 05,1023,228,233.244,20.42,20.89,37.999,38.873,2.97,3.038,1000.546,7.356,7.356,7.356,8,8.004,0.65,0.65,8.238,8.242,0.11,0.11,24.739,24.739,24.739,
2024-07-29 04,1020.868,228,232.758,20.42,20.846,37.999,38.792,2.97,3.032,997.49,7.356,7.356,7.356,8,7.98,0.65,0.648,8.238,8.217,0.11,0.11,24.736,24.736,24.736,
2024-07-29 03,1016.024,233,236.734,19.98,20.3,38.824,39.446,3.02,3.068,1006.149,7.342,7.342,7.342,9,9.055,0.37,0.372,8.594,8.647,0.1,0.101,24.742,24.742,24.742,
2024-07-29 02,1041.914,233,242.766,19.98,20.817,38.824,40.451,3.02,3.147,1030.859,7.363,7.363,7.363,9,9.278,0.37,0.381,8.594,8.859,0.1,0.103,24.74,24.74,24.74,
2024-07-29 01,997.758,234,233.475,19.36,19.317,38.634,38.547,3.16,3.153,943.26,7.361,7.361,7.361,8,7.546,0.46,0.434,8.634,8.144,0.13,0.123,24.795,24.795,24.795,
2024-07-29 00,911.227,234,213.227,19.36,17.641,38.634,35.204,3.16,2.879,966.548,7.367,7.367,7.367,8,7.732,0.46,0.445,8.634,8.345,0.13,0.126,24.87,24.87,24.87,
2024-07-28 23,900.02,295,265.506,16.84,15.156,38.32,34.489,2.98,2.682,881.325,7.356,7.356,7.356,7,6.169,0.65,0.573,8.732,7.696,0.15,0.132,24.923,24.923,24.923,
2024-07-28 22,915.438,295,270.054,16.84,15.416,38.32,35.08,2.98,2.728,947.328,7.347,7.347,7.347,7,6.631,0.65,0.616,8.732,8.272,0.15,0.142,24.95,24.95,24.95,
2024-07-28 21,961.59,231,222.127,15.88,15.27,37.774,36.323,3.07,2.952,894.781,7.324,7.324,7.324,7,6.263,0.45,0.403,8.65,7.74,0.14,0.125,25.003,25.003,25.003,
2024-07-28 20,1016.737,231,234.866,15.88,16.146,37.774,38.406,3.07,3.121,960.259,7.308,7.308,7.308,7,6.722,0.45,0.432,8.65,8.306,0.14,0.134,25.028,25.028,25.028,
2024-07-28 19,1023.042,260,265.991,15.05,15.397,39.408,40.316,2.51,2.568,931.479,7.244,7.244,7.244,9,8.383,0.49,0.456,8.422,7.845,0.13,0.121,25.056,25.056,25.056,
2024-07-28 18,975.889,260,253.731,15.05,14.687,39.408,38.458,2.51,2.449,896.349,7.187,7.187,7.187,9,8.067,0.49,0.439,8.422,7.549,0.13,0.117,25.082,25.082,25.082,
2024-07-28 17,979.813,232,227.317,14.96,14.658,38.58,37.801,2.74,2.685,909.225,7.148,7.148,7.148,11,10.001,0.89,0.809,8.527,7.753,0.14,0.127,25.111,25.111,25.111,
2024-07-28 16,941.903,232,218.521,14.96,14.091,38.58,36.339,2.74,2.581,903.222,7.138,7.138,7.138,11,9.935,0.89,0.804,8.527,7.702,0.14,0.126,25.142,25.142,25.142,
2024-07-28 15,957.145,228,218.229,16.43,15.726,39.097,37.421,2.91,2.785,993.965,7.138,7.138,7.138,10,9.94,0.47,0.467,8.11,8.061,0.15,0.149,25.135,25.135,25.135,
2024-07-28 14,963.746,228,219.734,16.43,15.834,39.097,37.68,2.91,2.805,1024.246,7.111,7.111,7.111,10,10.242,0.47,0.481,8.11,8.307,0.15,0.154,25.134,25.134,25.134,
2024-07-28 13,985.505,234,230.608,17.45,17.197,38.715,38.154,3.01,2.966,975.123,7.118,7.118,7.118,10,9.751,0.53,0.517,8.336,8.129,0.13,0.127,25.136,25.136,25.136,
2024-07-28 12,1010.242,234,236.397,17.45,17.629,38.715,39.112,3.01,3.041,952.789,7.163,7.163,7.163,10,9.528,0.53,0.505,8.336,7.942,0.13,0.124,25.109,25.109,25.109,
2024-07-28 11,1031.888,225,232.175,19.01,19.616,38.14,39.356,3.14,3.24,717.268,7.193,7.193,7.193,12,8.607,0.56,0.402,8.291,5.947,0.11,0.079,25.106,25.106,25.106,
2024-07-28 10,878.549,225,197.674,19.01,16.701,38.14,33.508,3.14,2.759,802.204,7.197,7.197,7.197,12,9.626,0.56,0.449,8.291,6.651,0.11,0.088,25.109,25.109,25.109,
2024-07-28 09,972.345,247,240.169,20.88,20.303,37.712,36.669,3.18,3.092,991.391,7.198,7.198,7.198,12,11.897,0.59,0.585,8.38,8.308,0.12,0.119,25.107,25.107,25.107,
2024-07-28 08,1027.399,247,253.768,20.88,21.452,37.712,38.745,3.18,3.267,1008.651,7.208,7.208,7.208,12,12.104,0.59,0.595,8.38,8.452,0.12,0.121,25.111,25.111,25.111,
2024-07-28 07,1014.878,194,196.886,20.4,20.704,38.979,39.559,3.36,3.41,1009.7,7.242,7.242,7.242,11,11.107,0.58,0.586,8.263,8.343,0.14,0.141,25.104,25.104,25.104,
2024-07-28 06,1029.223,194,199.669,20.4,20.996,38.979,40.118,3.36,3.458,1018.495,7.293,7.293,7.293,11,11.203,0.58,0.591,8.263,8.416,0.14,0.143,25.135,25.135,25.135,
2024-07-28 05,1030.209,192,197.8,19.35,19.935,38.416,39.577,3,3.091,1023.159,7.376,7.376,7.376,12,12.278,0.94,0.962,8.362,8.556,0.11,0.113,25.156,25.156,25.156,
2024-07-28 04,982.432,192,188.627,19.35,19.01,38.416,37.741,3,2.947,1012.278,7.387,7.387,7.387,12,12.147,0.94,0.952,8.362,8.465,0.11,0.111,25.191,25.191,25.191,
2024-07-28 03,960.445,196,188.247,17.57,16.875,38.425,36.905,2.78,2.67,987.078,7.375,7.375,7.375,15,14.806,0.55,0.543,8.171,8.065,0.12,0.118,25.215,25.215,25.215,
2024-07-28 02,944.753,196,185.172,17.57,16.599,38.425,36.302,2.78,2.626,993.819,7.393,7.393,7.393,15,14.907,0.55,0.547,8.171,8.12,0.12,0.119,25.217,25.217,25.217,
2024-07-28 01,998.893,215,214.762,16.01,15.992,39.209,39.166,2.74,2.737,1023.932,7.393,7.393,7.393,14,14.335,0.54,0.553,8.307,8.506,0.14,0.143,25.241,25.241,25.241,
2024-07-28 00,976.878,215,210.029,16.01,15.64,39.209,38.302,2.74,2.677,901.171,7.398,7.398,7.398,14,12.616,0.54,0.487,8.307,7.486,0.14,0.126,25.269,25.269,25.269,
2024-07-27 23,958.854,251,240.672,15,14.383,38.008,36.444,2.53,2.426,888.532,7.388,7.388,7.388,12,10.662,0.43,0.382,8.185,7.273,0.13,0.116,25.295,25.295,25.295,
2024-07-27 22,896.432,251,225.004,15,13.446,38.008,34.072,2.53,2.268,850.674,7.392,7.392,7.392,12,10.208,0.43,0.366,8.185,6.963,0.13,0.111,25.318,25.318,25.318,
2024-07-27 21,974.254,228,222.13,12.95,12.617,37.259,36.3,2.34,2.28,842.196,7.382,7.382,7.382,12,10.106,0.5,0.421,7.78,6.552,0.09,0.076,25.375,25.375,25.375,
2024-07-27 20,985.338,228,224.657,12.95,12.76,37.259,36.713,2.34,2.306,905.288,7.367,7.367,7.367,12,10.863,0.5,0.453,7.78,7.043,0.09,0.081,25.425,25.425,25.425,
2024-07-27 19,958.763,231,221.474,13.72,13.154,38.696,37.1,2.39,2.291,1004.836,7.338,7.338,7.338,10,10.048,0.55,0.553,7.939,7.977,0.12,0.121,25.48,25.48,25.48,
2024-07-27 18,955.309,231,220.676,13.72,13.107,38.696,36.967,2.39,2.283,958.862,7.336,7.336,7.336,10,9.589,0.55,0.527,7.939,7.612,0.12,0.115,25.524,25.524,25.524,
2024-07-27 17,973.903,228,222.05,14.58,14.2,39.707,38.671,2.41,2.347,955.82,7.338,7.338,7.338,12,11.47,0.54,0.516,7.731,7.389,0.11,0.105,25.606,25.606,25.606,
2024-07-27 16,1030.449,228,234.942,14.58,15.024,39.707,40.916,2.41,2.483,957.701,7.325,7.325,7.325,12,11.492,0.54,0.517,7.731,7.404,0.11,0.105,25.632,25.632,25.632,
2024-07-27 15,1033.032,225,232.432,14.58,15.062,39.171,40.465,2.17,2.242,1003.984,7.268,7.268,7.268,13,13.052,0.42,0.422,7.798,7.829,0.16,0.161,25.657,25.657,25.657,
2024-07-27 14,1036.072,225,233.116,14.58,15.106,39.171,40.584,2.17,2.248,1020.411,7.179,7.179,7.179,13,13.265,0.42,0.429,7.798,7.957,0.16,0.163,25.574,25.574,25.574,
